"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2023","15448.02","15,476.67","15,503.55","15,375.11","220.38M","0.14%"
"07/21/2023","15425.67","15,554.99","15,600.54","15,410.57","798.15M","-0.26%"
"07/20/2023","15466.09","15,719.22","15,770.98","15,430.65","332.38M","-2.28%"
"07/19/2023","15826.35","15,887.94","15,931.97","15,781.96","265.91M","-0.09%"
"07/18/2023","15841.35","15,669.72","15,895.68","15,608.46","258.27M","0.82%"
"07/17/2023","15713.28","15,608.28","15,745.67","15,576.51","236.59M","0.95%"
"07/14/2023","15565.60","15,610.00","15,719.97","15,531.33","255.95M","-0.04%"
"07/13/2023","15571.98","15,432.08","15,602.23","15,422.28","242.10M","1.73%"
"07/12/2023","15307.23","15,277.19","15,363.78","15,210.01","287.19M","1.24%"
"07/11/2023","15119.06","15,068.13","15,135.29","14,975.16","234.56M","0.49%"
"07/10/2023","15045.64","15,031.95","15,066.43","14,924.76","270.68M","0.06%"
"07/07/2023","15036.85","15,071.40","15,210.39","15,033.65","239.62M","-0.35%"
"07/06/2023","15089.45","15,052.89","15,106.31","14,969.46","242.18M","-0.75%"
"07/05/2023","15203.78","15,165.36","15,275.06","15,164.10","223.20M","-0.04%"
"07/03/2023","15210.09","15,189.90","15,232.96","15,154.47","112.63M","0.20%"
"06/30/2023","15179.21","15,083.96","15,212.69","15,083.09","316.99M","1.60%"
"06/29/2023","14939.95","14,965.55","14,982.12","14,876.98","225.75M","-0.16%"
"06/28/2023","14964.58","14,876.65","15,051.00","14,867.93","246.25M","0.12%"
"06/27/2023","14945.91","14,751.70","14,972.01","14,728.28","268.56M","1.75%"
"06/26/2023","14689.02","14,867.46","14,982.22","14,687.42","265.19M","-1.36%"
"06/23/2023","14891.48","14,875.29","14,983.13","14,822.26","419.91M","-1.00%"
"06/22/2023","15042.32","14,797.89","15,044.22","14,794.95","233.94M","1.18%"
"06/21/2023","14867.45","15,018.76","15,037.79","14,827.95","308.36M","-1.35%"
"06/20/2023","15070.15","15,035.04","15,126.58","14,946.72","290.28M","-0.09%"
"06/16/2023","15083.92","15,271.51","15,282.40","15,073.45","770.65M","-0.67%"
"06/15/2023","15185.48","14,950.37","15,246.38","14,930.80","320.36M","1.20%"
"06/14/2023","15005.69","14,895.06","15,016.09","14,785.54","308.26M","0.70%"
"06/13/2023","14900.85","14,911.26","14,930.91","14,771.79","274.78M","0.79%"
"06/12/2023","14784.30","14,617.35","14,789.60","14,571.80","283.43M","1.76%"
"06/09/2023","14528.36","14,574.97","14,671.93","14,488.01","257.89M","0.30%"
"06/08/2023","14484.54","14,319.24","14,502.99","14,315.98","252.28M","1.27%"
"06/07/2023","14303.29","14,573.27","14,645.95","14,283.88","334.21M","-1.75%"
"06/06/2023","14558.09","14,529.04","14,593.50","14,476.99","248.53M","0.01%"
"06/05/2023","14556.50","14,552.36","14,662.95","14,516.88","253.81M","0.07%"
"06/02/2023","14546.64","14,517.15","14,595.01","14,442.76","273.39M","0.73%"
"06/01/2023","14441.51","14,270.07","14,492.75","14,220.03","313.72M","1.31%"
"05/31/2023","14254.09","14,293.56","14,374.15","14,216.16","613.16M","-0.70%"
"05/30/2023","14354.99","14,465.59","14,520.17","14,301.08","307.22M","0.40%"
"05/26/2023","14298.41","13,985.63","14,328.63","13,982.65","353.47M","2.58%"
"05/25/2023","13938.53","13,920.38","13,986.69","13,814.43","341.17M","2.46%"
"05/24/2023","13604.48","13,588.01","13,655.55","13,520.94","230.58M","-0.50%"
"05/23/2023","13672.54","13,774.22","13,826.95","13,663.15","240.68M","-1.28%"
"05/22/2023","13849.74","13,804.74","13,893.28","13,794.24","226.57M","0.34%"
"05/19/2023","13803.49","13,842.71","13,873.99","13,764.13","266.14M","-0.22%"
"05/18/2023","13834.62","13,610.25","13,844.40","13,606.92","276.35M","1.81%"
"05/17/2023","13589.26","13,474.52","13,608.33","13,419.35","253.36M","1.22%"
"05/16/2023","13426.01","13,385.18","13,498.44","13,385.18","209.43M","0.09%"
"05/15/2023","13413.51","13,352.26","13,419.71","13,298.14","200.10M","0.55%"
"05/12/2023","13340.17","13,408.40","13,427.22","13,256.57","223.16M","-0.37%"
"05/11/2023","13389.78","13,378.34","13,411.70","13,306.14","245.00M","0.31%"
"05/10/2023","13347.83","13,308.42","13,384.32","13,205.71","285.78M","1.11%"
"05/09/2023","13201.11","13,228.06","13,254.59","13,193.88","230.23M","-0.68%"
"05/08/2023","13291.64","13,247.09","13,302.10","13,193.79","209.64M","0.25%"
"05/05/2023","13259.13","13,070.70","13,291.11","13,060.31","264.70M","2.13%"
"05/04/2023","12982.48","13,013.81","13,064.02","12,941.31","242.68M","-0.37%"
"05/03/2023","13030.21","13,123.10","13,230.99","13,026.04","256.28M","-0.64%"
"05/02/2023","13113.66","13,227.32","13,241.35","13,047.03","246.76M","-0.89%"
"05/01/2023","13231.47","13,231.40","13,287.47","13,186.72","210.99M","-0.11%"
"04/28/2023","13245.99","13,139.35","13,247.39","13,096.93","300.70M","0.65%"
"04/27/2023","13160.03","12,963.21","13,175.62","12,938.50","319.31M","2.76%"
"04/26/2023","12806.49","12,866.64","12,929.62","12,783.42","292.22M","0.64%"
"04/25/2023","12725.11","12,905.09","12,933.28","12,724.24","261.53M","-1.89%"
"04/24/2023","12969.76","12,981.71","13,044.23","12,883.77","199.01M","-0.24%"
"04/21/2023","13000.77","12,970.73","13,030.85","12,899.94","236.29M","0.11%"
"04/20/2023","12985.98","12,960.87","13,107.92","12,934.16","261.08M","-0.78%"
"04/19/2023","13088.71","12,991.32","13,127.52","12,989.21","193.12M","-0.02%"
"04/18/2023","13091.79","13,180.32","13,195.42","13,044.23","196.42M","0.03%"
"04/17/2023","13087.71","13,052.98","13,104.54","12,981.33","200.60M","0.06%"
"04/14/2023","13079.52","13,044.69","13,151.55","12,963.27","207.01M","-0.23%"
"04/13/2023","13109.39","12,923.12","13,124.25","12,921.52","230.32M","2.03%"
"04/12/2023","12848.35","13,046.05","13,071.61","12,833.63","236.16M","-0.89%"
"04/11/2023","12964.16","13,040.93","13,049.45","12,947.88","205.96M","-0.67%"
"04/10/2023","13051.23","12,936.52","13,051.23","12,862.21","197.14M","-0.09%"
"04/06/2023","13062.60","12,886.96","13,078.03","12,847.13","229.27M","0.74%"
"04/05/2023","12967.20","13,056.79","13,063.61","12,894.66","247.05M","-1.01%"
"04/04/2023","13100.08","13,165.32","13,201.72","13,049.98","227.52M","-0.37%"
"04/03/2023","13148.35","13,085.26","13,157.41","13,036.55","246.99M","-0.25%"
"03/31/2023","13181.35","12,969.53","13,187.74","12,969.53","317.30M","1.68%"
"03/30/2023","12963.14","12,937.17","12,986.51","12,894.17","222.52M","0.91%"
"03/29/2023","12846.03","12,768.14","12,867.32","12,735.07","269.29M","1.87%"
"03/28/2023","12610.57","12,654.56","12,654.56","12,517.87","202.21M","-0.49%"
"03/27/2023","12673.07","12,800.53","12,838.71","12,648.14","224.72M","-0.74%"
"03/24/2023","12767.05","12,701.86","12,768.57","12,608.15","260.23M","0.30%"
"03/23/2023","12729.23","12,735.60","12,900.08","12,611.84","296.74M","1.29%"
"03/22/2023","12567.15","12,742.05","12,943.16","12,565.96","278.37M","-1.37%"
"03/21/2023","12741.44","12,643.92","12,761.43","12,582.76","302.19M","1.42%"
"03/20/2023","12562.61","12,490.10","12,577.35","12,414.86","291.01M","0.34%"
"03/17/2023","12519.88","12,570.91","12,672.95","12,444.08","715.08M","-0.49%"
"03/16/2023","12581.39","12,216.08","12,594.72","12,191.90","343.74M","2.69%"
"03/15/2023","12251.32","12,083.20","12,269.18","12,026.54","342.85M","0.42%"
"03/14/2023","12199.79","12,080.18","12,217.71","12,035.61","323.55M","2.32%"
"03/13/2023","11923.17","11,752.10","12,072.63","11,695.41","350.80M","0.79%"
"03/10/2023","11830.28","12,001.74","12,069.43","11,790.51","308.28M","-1.38%"
"03/09/2023","11995.88","12,230.84","12,340.19","11,970.85","275.43M","-1.80%"
"03/08/2023","12215.33","12,181.06","12,236.90","12,103.04","233.92M","0.52%"
"03/07/2023","12152.17","12,303.61","12,343.43","12,130.07","258.35M","-1.22%"
"03/06/2023","12302.48","12,344.65","12,466.66","12,298.50","239.30M","0.10%"
"03/03/2023","12290.81","12,108.83","12,300.23","12,095.56","278.56M","2.04%"
"03/02/2023","12044.87","11,831.17","12,074.58","11,831.17","244.25M","0.89%"
"03/01/2023","11938.57","12,026.72","12,053.91","11,906.61","247.14M","-0.86%"
"02/28/2023","12042.12","12,040.32","12,146.44","12,022.23","315.36M","-0.13%"
"02/27/2023","12057.79","12,106.79","12,158.29","12,035.09","224.90M","0.74%"
"02/24/2023","11969.65","11,980.79","12,018.32","11,901.03","263.14M","-1.73%"
"02/23/2023","12180.14","12,224.44","12,227.40","12,003.72","284.13M","0.94%"
"02/22/2023","12066.27","12,085.67","12,155.28","12,006.10","261.27M","0.05%"
"02/21/2023","12060.30","12,206.61","12,256.16","12,058.40","290.93M","-2.41%"
"02/17/2023","12358.18","12,352.30","12,384.89","12,233.79","265.09M","-0.68%"
"02/16/2023","12442.48","12,498.73","12,653.08","12,440.00","293.43M","-1.93%"
"02/15/2023","12687.89","12,529.97","12,688.17","12,487.15","246.86M","0.77%"
"02/14/2023","12590.89","12,410.01","12,627.40","12,358.59","272.42M","0.71%"
"02/13/2023","12502.31","12,357.54","12,522.63","12,313.83","255.75M","1.60%"
"02/10/2023","12304.92","12,309.51","12,372.89","12,204.28","266.69M","-0.62%"
"02/09/2023","12381.17","12,676.53","12,679.32","12,328.25","308.10M","-0.91%"
"02/08/2023","12495.38","12,680.03","12,709.45","12,471.19","306.44M","-1.83%"
"02/07/2023","12728.27","12,474.25","12,771.57","12,421.54","318.36M","2.12%"
"02/06/2023","12464.51","12,468.80","12,558.66","12,412.76","251.98M","-0.87%"
"02/03/2023","12573.36","12,522.69","12,828.15","12,522.69","343.27M","-1.79%"
"02/02/2023","12803.14","12,655.46","12,880.43","12,604.74","395.33M","3.56%"
"02/01/2023","12363.10","12,084.52","12,456.80","12,010.74","342.54M","2.16%"
"01/31/2023","12101.93","11,915.97","12,103.30","11,915.97","314.29M","1.59%"
"01/30/2023","11912.39","12,047.05","12,086.56","11,906.69","277.93M","-2.09%"
"01/27/2023","12166.60","12,001.32","12,248.15","12,001.32","343.86M","0.96%"
"01/26/2023","12051.48","11,974.97","12,053.74","11,854.04","266.40M","2.00%"
"01/25/2023","11814.69","11,636.01","11,841.81","11,550.46","254.58M","-0.27%"
"01/24/2023","11846.64","11,804.13","11,889.37","11,780.25","213.95M","-0.22%"
"01/23/2023","11872.54","11,653.69","11,918.84","11,619.14","289.33M","2.18%"
"01/20/2023","11619.03","11,364.72","11,621.78","11,332.26","343.34M","2.86%"
"01/19/2023","11295.67","11,345.53","11,387.61","11,251.94","258.59M","-1.00%"
"01/18/2023","11410.29","11,634.80","11,690.02","11,403.49","270.21M","-1.27%"
"01/17/2023","11557.19","11,531.29","11,614.03","11,484.02","261.63M","0.14%"
"01/13/2023","11541.48","11,363.52","11,547.67","11,350.84","229.09M","0.71%"
"01/12/2023","11459.61","11,442.89","11,499.69","11,246.02","264.80M","0.50%"
"01/11/2023","11402.53","11,256.86","11,402.92","11,220.75","278.73M","1.76%"
"01/10/2023","11205.78","11,069.05","11,206.52","11,051.70","231.44M","0.88%"
"01/09/2023","11108.45","11,132.33","11,304.84","11,085.38","273.87M","0.62%"
"01/06/2023","11040.35","10,807.93","11,082.59","10,696.92","315.22M","2.78%"
"01/05/2023","10741.22","10,838.74","10,838.74","10,729.73","279.74M","-1.59%"
"01/04/2023","10914.80","10,948.32","10,980.52","10,790.55","291.71M","0.48%"
"01/03/2023","10862.64","11,039.69","11,091.70","10,771.59","293.99M","-0.70%"
"12/30/2022","10939.76","10,835.59","10,942.01","10,778.64","224.00M","-0.10%"
"12/29/2022","10951.05","10,797.65","10,980.82","10,776.64","229.51M","2.54%"
"12/28/2022","10679.34","10,806.22","10,897.67","10,672.45","211.03M","-1.32%"
"12/27/2022","10822.51","10,944.56","10,956.23","10,809.10","220.19M","-1.48%"
"12/23/2022","10985.45","10,915.97","11,006.43","10,830.90","191.57M","0.27%"
"12/22/2022","10956.14","11,098.46","11,114.23","10,784.30","305.00M","-2.49%"
"12/21/2022","11235.88","11,112.54","11,285.72","11,086.30","237.54M","1.48%"
"12/20/2022","11072.42","11,021.91","11,143.35","10,968.02","264.25M","-0.11%"
"12/19/2022","11084.59","11,239.67","11,251.57","11,030.15","285.92M","-1.42%"
"12/16/2022","11243.72","11,313.76","11,382.66","11,175.92","860.90M","-0.89%"
"12/15/2022","11345.22","11,573.26","11,590.80","11,300.66","325.28M","-3.37%"
"12/14/2022","11740.92","11,822.98","11,941.28","11,620.26","295.70M","-0.79%"
"12/13/2022","11834.21","12,141.18","12,159.23","11,727.38","349.42M","1.09%"
"12/12/2022","11706.44","11,573.15","11,706.44","11,529.75","245.45M","1.24%"
"12/09/2022","11563.33","11,594.38","11,707.08","11,550.31","243.50M","-0.64%"
"12/08/2022","11637.50","11,540.03","11,671.93","11,470.68","236.99M","1.22%"
"12/07/2022","11497.39","11,491.20","11,576.07","11,432.38","228.03M","-0.45%"
"12/06/2022","11549.68","11,775.21","11,790.93","11,488.82","233.60M","-2.01%"
"12/05/2022","11786.80","11,900.74","11,957.30","11,732.20","228.80M","-1.73%"
"12/02/2022","11994.26","11,845.31","12,025.36","11,827.84","234.75M","-0.40%"
"12/01/2022","12041.89","12,030.97","12,113.81","11,928.85","256.77M","0.10%"
"11/30/2022","12030.06","11,506.00","12,030.06","11,481.98","495.38M","4.58%"
"11/29/2022","11503.45","11,589.86","11,613.24","11,450.55","195.88M","-0.73%"
"11/28/2022","11587.75","11,684.07","11,763.64","11,555.41","238.64M","-1.46%"
"11/25/2022","11759.62","11,777.86","11,803.73","11,749.50","70.46M","-0.67%"
"11/23/2022","11838.71","11,726.14","11,866.41","11,722.01","180.48M","0.97%"
"11/22/2022","11724.84","11,590.06","11,731.36","11,503.34","217.51M","1.48%"
"11/21/2022","11553.45","11,624.00","11,664.27","11,524.44","219.80M","-1.06%"
"11/18/2022","11677.02","11,792.79","11,792.79","11,579.92","247.36M","0.00%"
"11/17/2022","11676.86","11,524.21","11,737.47","11,519.82","233.85M","-0.19%"
"11/16/2022","11699.09","11,768.79","11,796.81","11,673.36","251.30M","-1.45%"
"11/15/2022","11871.15","12,005.27","12,023.50","11,736.00","290.64M","1.45%"
"11/14/2022","11700.94","11,730.10","11,863.54","11,669.63","272.08M","-0.98%"
"11/11/2022","11817.01","11,602.29","11,839.97","11,537.20","318.07M","1.82%"
"11/10/2022","11605.96","11,351.07","11,610.22","11,235.74","451.03M","7.49%"
"11/09/2022","10797.55","10,973.87","11,009.46","10,790.35","295.74M","-2.37%"
"11/08/2022","11059.50","11,038.31","11,191.64","10,897.91","262.02M","0.75%"
"11/07/2022","10977.00","10,900.83","11,000.81","10,818.05","265.93M","1.11%"
"11/04/2022","10857.03","10,910.64","10,933.83","10,633.45","352.45M","1.56%"
"11/03/2022","10690.60","10,769.43","10,851.76","10,682.36","309.69M","-1.98%"
"11/02/2022","10906.34","11,300.27","11,410.91","10,903.48","342.40M","-3.39%"
"11/01/2022","11288.95","11,571.52","11,574.39","11,278.28","258.91M","-1.02%"
"10/31/2022","11405.57","11,465.21","11,482.99","11,331.26","304.15M","-1.22%"
"10/28/2022","11546.21","11,176.99","11,563.16","11,176.99","355.96M","3.17%"
"10/27/2022","11191.63","11,387.71","11,417.04","11,179.90","343.35M","-1.88%"
"10/26/2022","11405.90","11,409.79","11,657.06","11,388.34","330.32M","-2.26%"
"10/25/2022","11669.99","11,482.87","11,681.85","11,480.41","275.48M","2.10%"
"10/24/2022","11430.26","11,321.11","11,468.18","11,166.49","280.87M","1.06%"
"10/21/2022","11310.33","10,998.17","11,327.77","10,962.01","324.07M","2.39%"
"10/20/2022","11046.71","11,081.23","11,279.81","11,001.28","241.40M","-0.51%"
"10/19/2022","11103.38","11,081.82","11,231.46","11,008.11","223.79M","-0.40%"
"10/18/2022","11147.74","11,368.76","11,374.38","11,035.80","246.56M","0.77%"
"10/17/2022","11062.53","10,967.25","11,090.87","10,959.75","293.32M","3.46%"
"10/14/2022","10692.06","11,130.08","11,152.89","10,677.48","299.49M","-3.10%"
"10/13/2022","11033.58","10,481.58","11,087.66","10,440.64","355.13M","2.30%"
"10/12/2022","10785.61","10,810.30","10,886.49","10,754.85","234.88M","-0.05%"
"10/11/2022","10791.35","10,865.32","10,981.91","10,716.33","285.80M","-1.24%"
"10/10/2022","10926.97","11,048.51","11,063.21","10,824.25","247.71M","-1.02%"
"10/07/2022","11039.47","11,272.46","11,293.65","10,991.66","325.37M","-3.88%"
"10/06/2022","11485.50","11,556.40","11,660.55","11,472.83","224.26M","-0.76%"
